ID  объявления,numbers_rooms,area_square,parking,price,repair,balcony,ceilings,comfort_cat,district,walking_dist,bath_comb,bath_sep,loggia,elev_pass,elev_cargo,max_floor,type_house,cur_floor
274332952,2,40,0.5,55000,0.64,0,2.64,1,0.25,1,1,0,0,0,0,16,0.28,14
264964381,2,55,0.5,55000,0.64,0,2.64,0,0.25,0,1,1,0,0,0,17,0.28,2
273136405,2,50,0.5,60000,0.4,1,2.5,0,0.25,1,0,1,1,0,0,16,0.28,12
274691205,3,80,0.5,60000,0.4,1,2.7,0,0.25,1,0,1,0,0,0,5,0.41,4
269708703,2,60,0.5,60000,0.64,0,2.64,0,0.25,0,1,0,0,1,1,25,0.28,13
266584581,2,59,0.5,60000,0.64,0,2.64,0,0.25,0,1,1,0,1,1,25,0.28,13
274972434,3,86,0.5,65000,0.64,0,2.64,0,0.25,0,0,1,0,0,0,17,0.28,15
274921167,3,70,0.5,65000,0.4,0,2.5,0,0.25,1,1,0,1,1,1,17,0.28,5
274533171,2,60,0.5,65000,0.4,0,2.7,0,0.25,1,1,0,1,1,1,17,0.28,11
271958692,2,55,0.5,65000,0.4,1,2.7,0,0.25,1,0,1,0,1,1,17,0.28,14
274424841,3,60,0.5,65000,0.64,1,2.64,0,0.25,1,0,1,0,1,0,9,0.28,7
274127726,3,85,0.5,65000,0.64,0,2.64,0,0.25,0,0,1,0,1,1,14,0.28,7
234043130,3,65,0.5,65000,0.4,1,2.64,0,0.25,1,0,1,1,1,0,14,0.28,11
273273531,2,52,0.5,70000,0.4,0,2.64,0,0.25,1,1,0,0,1,1,12,0.28,11
268859198,3,60,0.5,70000,0.4,0,2.7,0,0.25,0,1,1,0,0,1,25,0.28,18
273810474,3,64,0.5,70000,0.4,0,2.5,0,0.25,1,0,1,1,1,0,12,0.28,7
273900158,3,80,0.5,70000,0.64,0,2.74,0,0.25,1,0,1,1,1,1,22,0.28,9
273500849,2,60,0.5,70000,0.4,1,2.64,0,0.25,1,1,0,0,1,0,16,0.5,14
274577066,2,58,0.5,70000,0.4,1,2.74,0,0.25,0,0,1,0,1,0,14,0.28,9
273630370,3,86,0.5,75000,0.64,0,2.64,0,0.25,1,1,0,1,1,0,17,0.28,7
250902653,3,95,0.5,75000,0.64,0,2.64,0,0.25,1,0,1,1,1,0,17,0.28,15
273457565,2,70,0.5,85000,0.4,0,2.64,0,0.25,1,1,0,1,1,0,16,0.5,16
273187331,2,80,0.5,90000,0.64,0,2.8,0,0.25,1,1,0,1,1,1,16,0.69,15
274439993,1,38,0.5,28000,0.4,0,2.7,0,0.25,0,0,1,0,1,0,12,0.28,1
245892892,1,15,0.5,28990,0.64,0,2.64,0,0.25,1,1,0,0,0,0,5,0.41,1
273388536,2,20,0.5,30000,0.4,0,2.7,0,0.25,1,0,1,0,0,0,25,0.28,3
262578078,1,40,0.5,30000,0.4,1,2.64,0,0.25,0,1,0,0,1,1,19,0.28,13
274897766,2,20,0.5,30000,0.64,0,2.64,0,0.25,0,1,0,0,1,1,25,0.28,13
274376478,1,35,0.5,30000,0.4,1,2.64,0,0.25,0,1,0,0,0,0,5,0.41,4
267918421,1,37,0.5,30000,0.4,0,2.48,0,0.25,0,0,1,0,1,0,12,0.28,2
274217696,1,38,0.5,30000,0.4,0,2.64,0,0.25,1,0,1,0,1,0,9,0.28,6
274904384,2,40,0.5,30000,0.64,0,2.64,0,0.25,0,1,0,0,0,0,25,0.28,16
274805048,1,22,1.0,34999,0.64,0,2.8,0,0.25,1,1,0,0,1,1,16,0.5,7
274980708,1,40,0.5,35000,0.4,0,2.64,0,0.25,1,0,1,1,1,1,17,0.28,10
274191056,1,35,0.5,35000,0.4,0,2.64,0,0.25,1,1,0,1,1,1,16,0.28,6
260995763,2,40,0.5,35000,0.4,0,2.64,0,0.25,0,1,0,1,1,0,14,0.26,4
210265717,2,42,0.5,35000,0.4,0,2.64,0,0.25,0,0,1,0,1,0,9,0.28,1
274478260,1,36,0.5,35000,0.4,0,2.64,0,0.25,0,1,0,0,1,0,9,0.28,1
254637133,2,44,0.5,35000,0.4,0,2.64,0,0.25,0,1,0,0,0,0,5,0.41,1
274447346,1,38,0.5,35000,0.4,0,2.64,0,0.25,0,1,0,1,1,0,17,0.28,10
274917513,1,38,0.5,35000,0.4,1,2.64,0,0.25,1,1,0,0,0,0,17,0.28,4
266279009,2,50,0.5,35000,0.64,0,2.64,0,0.25,0,1,0,0,0,0,14,0.28,14
274235912,1,39,0.5,37000,0.4,1,2.85,0,0.25,0,1,0,0,1,1,24,0.5,9
272424691,3,93,0.5,120000,1.0,1,2.64,0,0.45,0,1,0,0,1,1,25,0.69,23
274942364,2,59,0.5,30000,0.4,0,2.64,0,0.48,0,0,1,1,1,0,19,0.5,16
274549531,2,58,0.5,33000,0.4,0,2.64,0,0.48,0,0,1,0,1,1,25,0.26,3
255115491,1,37,0.5,28000,0.4,0,2.64,0,0.48,0,1,0,1,1,0,19,0.5,17
216497825,1,36,0.5,30000,0.64,0,2.64,0,0.48,0,1,0,1,1,1,19,0.28,12
274271871,2,66,0.5,38000,0.4,0,2.8,0,0.48,0,0,1,1,1,1,19,0.5,7
271735198,3,80,0.5,40000,0.4,1,2.64,0,0.48,0,1,1,0,1,0,19,0.5,6
257646145,3,88,0.5,40000,0.4,0,2.78,0,0.48,0,0,1,1,1,1,19,0.5,10
274685028,4,85,0.5,77000,0.4,0,2.64,0,0.45,0,1,0,0,0,0,2,0.28,1
273620527,1,38,0.5,30000,0.4,0,2.64,0,0.48,0,1,0,1,1,1,25,0.5,9
270414553,1,45,0.5,40000,0.4,1,2.5,0,0.48,0,1,0,0,1,1,19,0.5,19
273814873,3,73,0.5,35000,0.4,0,2.7,0,0.48,0,0,1,1,1,1,19,0.28,5
274908327,1,31,0.5,33000,0.64,1,2.4,0,0.25,0,1,0,0,1,0,9,0.28,6
273805546,1,41,0.5,38000,0.4,0,2.64,0,0.25,1,1,0,1,1,1,24,0.28,16
274575587,2,44,0.5,40000,0.4,1,2.6,0,0.25,0,1,0,0,0,0,5,0.28,3
274939158,2,48,0.5,36000,0.4,1,2.64,1,0.25,1,1,0,0,0,0,5,0.28,3
274573306,3,60,0.5,62000,0.64,1,2.64,0,0.25,1,0,1,1,1,1,9,0.28,3
218661596,1,35,0.5,32000,0.4,1,2.64,0,0.25,1,1,0,0,0,0,5,0.28,5
271679391,2,16,0.5,32000,0.64,0,2.64,0,0.25,0,1,0,0,0,0,5,0.41,2
272078309,1,15,0.5,32000,0.64,0,2.6,0,0.25,0,1,0,0,0,0,5,0.41,5
274778746,2,45,0.5,35000,0.4,1,2.64,0,0.25,1,1,0,0,0,0,5,0.28,4
195330574,1,36,0.5,35000,0.64,1,2.64,0,0.25,0,1,0,0,1,0,12,0.26,3
274982288,2,42,0.5,40000,0.4,0,2.64,0,0.25,0,1,0,0,0,0,5,0.28,1
274815322,2,44,0.5,47000,0.64,1,2.64,0,0.25,1,1,0,0,0,0,5,0.28,4
274246664,1,38,0.5,31900,1.0,1,2.64,0,0.25,1,1,0,0,0,0,5,0.28,3
274836039,2,42,0.5,32000,0.4,0,2.64,0,0.25,1,1,0,0,1,0,9,0.26,2
189384379,2,44,0.5,33000,0.4,1,2.64,0,0.25,0,0,1,0,1,0,9,0.28,5
274140997,1,38,0.5,35000,0.4,1,2.64,0,0.25,1,1,0,0,1,0,17,0.28,8
274549695,2,57,0.5,51000,0.64,0,2.7,0,0.25,1,0,1,1,1,1,18,0.28,6
273608911,1,36,0.5,30000,0.4,1,2.64,0,0.25,0,1,0,0,1,0,9,0.41,4
274441400,1,38,0.5,30000,0.4,0,2.64,0,0.25,1,1,0,0,1,1,16,0.28,2
274970133,1,32,0.5,27000,0.4,0,2.64,0,0.25,1,1,0,0,1,0,9,0.28,2
274102020,2,16,0.5,29000,0.64,0,2.65,0,0.25,1,1,0,0,0,0,5,0.41,3
274990340,2,18,0.5,30000,0.64,0,2.65,0,0.25,1,1,0,0,0,0,5,0.41,2
274894254,2,45,0.5,37000,0.4,1,2.64,0,0.25,1,1,0,0,0,0,5,0.28,2
269480341,2,50,0.5,38000,0.4,0,2.64,0,0.25,0,0,1,1,1,0,14,0.41,5
274775931,2,44,0.5,40000,0.4,1,2.64,0,0.25,1,1,0,0,0,0,5,0.28,3
274990336,2,52,0.5,45000,0.64,1,2.64,0,0.25,0,0,1,0,1,1,17,0.28,17
274345459,3,67,0.5,45000,0.4,1,2.64,0,0.25,0,1,0,0,1,0,12,0.28,7
